,Unnamed: 0,Contact Group,Arrival Time,Patience Time,Handle Time,BO Need,BO Deadline
0,0,1,6.559455172533221,5.255676805084963,6.338059573241789,0,5
1,1,1,15.17947947544307,4.5555395339968365,2.2242326505182763,0,5
2,2,1,34.73460744441461,3.3928449026942817,2.1780797114135106,0,5
3,3,1,36.58208875176305,6.482403867158223,5.8734636838043945,0,5
4,4,1,40.83676892229107,3.2871210837383718,4.052485247150722,0,5
5,5,1,44.81176520731561,4.282363871701894,7.081665301145361,0,5
6,6,1,45.27218966705132,3.0876211411234307,2.182175584224579,0,5
7,7,1,46.086237581500384,3.409498427254134,9.302145591928006,0,5
8,8,1,47.095731358878496,1.927105706411088,1.5690683762348976,0,5
9,9,1,51.91857568531189,4.131279260818472,4.5420149344778045,0,5
10,10,1,59.61482402879788,3.9864617918113674,5.295045559183148,0,5
11,11,1,96.32594225625814,2.044284601552516,1.5265286385456107,0,5
12,12,1,100.28593085407688,4.29235776609466,2.9980865684007054,0,5
13,13,1,113.06827331322953,4.802564177407444,6.318414313225911,0,5
14,14,1,120.59268244628127,2.2004489352985486,2.2780672992545585,0,5
15,15,1,121.45298800553527,2.9172412634023597,2.208261926574622,0,5
16,16,1,127.803825425135,5.251698353651356,5.933315361745926,0,5
17,17,1,129.1162236974977,4.970763068849099,4.342572688352101,0,5
18,18,1,135.34259271768167,7.224026355064917,5.852886196140822,0,5
19,19,1,138.3733863444679,4.403135355176542,2.127657653200164,0,5
20,20,1,141.80930950541975,3.6942985614031616,3.4641471683928593,0,5
21,21,1,145.72587427269167,2.6773095509555196,3.372396983021526,1,5
22,22,1,159.96248393086938,4.942695562913179,4.386861777423712,0,5
23,23,1,167.33830806459727,5.828971632240623,5.978053899748164,0,5
24,24,1,169.04231039841997,3.3430334985494863,4.40247206194966,0,5
25,25,1,173.86508295621047,2.762938438595157,2.0864273797579016,0,5
26,26,1,175.22464802996046,2.171137742759011,1.8655312321425646,0,5
27,27,1,181.6317327882288,2.07521758200803,2.0962297415365643,0,5
28,28,1,183.73378994770636,4.752548473139962,4.137165827911049,0,5
29,29,1,189.4282353087045,2.90577336465907,2.741446415749954,0,5
